year,восточное искусство,западное искусство,национальное российское искусство
2014,50.0,0.0,50.0
2015,20.689655172413794,51.724137931034484,27.586206896551722
2016,18.421052631578945,55.26315789473685,26.31578947368421
2017,32.142857142857146,50.0,17.857142857142858
2018,27.77777777777778,55.55555555555556,16.666666666666664
2019,35.714285714285715,50.0,14.285714285714285
2020,12.5,50.0,37.5
2021,30.76923076923077,38.46153846153847,30.76923076923077
2022,20.0,46.666666666666664,33.33333333333333
2023,16.666666666666664,50.0,33.33333333333333
2024,18.75,25.0,56.25
2025,18.75,50.0,31.25
2026,20.0,40.0,40.0
