period,word,tfidf_avg_score
before_2022,искусства,0.0419
before_2022,проект,0.0162
before_2022,xix,0.0202
before_2022,веков,0.0167
before_2022,впервые,0.0183
before_2022,россии,0.0226
before_2022,будут,0.0149
before_2022,гравюры,0.0342
before_2022,живописи,0.0161
before_2022,мастеров,0.0172
after_2022,искусства,0.0456
after_2022,проект,0.0319
after_2022,xix,0.0239
after_2022,веков,0.0238
after_2022,впервые,0.0214
after_2022,россии,0.0151
after_2022,будут,0.0204
after_2022,гравюры,0.0
after_2022,живописи,0.0181
after_2022,мастеров,0.0167
